"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ASBB","ASB Bancorp, Inc.","16.93","90809997.43","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"ABG","Asbury Automotive Group Inc","34.84","1094316491.32","n/a","1996","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/abg",
"ASNA","Ascena Retail Group, Inc.","18.38","2916165653.6","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/asna",
"ASCMA","Ascent Capital Group, Inc.","67.83","958186589.85","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ascma",
"ASTI","Ascent Solar Technologies, Inc.","0.57","29170836.42","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti",
"AHT","Ashford Hospitality Trust Inc","12.25","834890015.75","n/a","1987","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aht",
"AHT^A","Ashford Hospitality Trust Inc","25.45","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aht^a",
"AHT^D","Ashford Hospitality Trust Inc","25.2897","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aht^d",
"AHT^E","Ashford Hospitality Trust Inc","27.78","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aht^e",
"ASH","Ashland Inc.","75.23","5941644711.75","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/ash",
"AERL","Asia Entertainment & Resources Ltd","4.47","188584011.99","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/aerl",
"APB","Asia Pacific Fund, Inc. (The)","10.43","107888681.39","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/apb",
"APWC","Asia Pacific Wire & Cable Corporation Limited","4.1499","57396308.2731","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"GRR","Asia Tigers Fund, Inc. (The)","12.09","43210929.45","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grr",
"ASIA","AsiaInfo-Linkage, Inc.","11.55","840405107.85","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/asia",
"ASMI","ASM International N.V.","31.53","1733899021.2","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asmi",
"ASML","ASML Holding N.V.","66.71","27161991892.91","n/a","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AHL","Aspen Insurance Holdings Limited","38.36","2677017773.64","n/a","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ahl",
"AHL^","Aspen Insurance Holdings Limited","66","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^",
"AHL^A","Aspen Insurance Holdings Limited","27.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^a",
"AHL^B","Aspen Insurance Holdings Limited","27.28","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^b",
"AZPN","Aspen Technology, Inc.","30.18","2820487593.6","n/a","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/azpn",
"AACC","Asset Acceptance Capital Corp.","6.69","205932088.44","n/a","2004","Finance","Finance Companies","http://www.nasdaq.com/symbol/aacc",
"ALC","Assisted Living Concepts, Inc. New","11.9","273349437.9","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/alc",
"ABW^B","Associated Banc-Corp","28.66","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abw^b",
"ASBC","Associated Banc-Corp","14.54","2437024769.24","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asbc",
"ASBCW","Associated Banc-Corp","1.39","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asbcw",
"AEC","Associated Estates Realty Corporation","18.08","910431670.72","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aec",
"AIZ","Assurant, Inc.","45.01","3553882611.23","n/a","2004","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/aiz",
"AGO","Assured Guaranty Ltd.","19.84","3839415511.68","n/a","1987","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ago",
"AGO^B","Assured Guaranty Ltd.","25.44","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ago^b",
"AGO^E","Assured Guaranty Ltd.","25.02","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ago^e",
"AGO^F","Assured Guaranty Ltd.","24.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ago^f",
"ASFI","Asta Funding, Inc.","9.45","122293763.55","n/a","1995","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi",
"ATEA","Astea International, Inc.","3.41","12232689.59","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atea",
"ASTE","Astec Industries, Inc.","33.6","766295040","n/a","1986","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/aste",
"ASTX","Astex Pharmaceuticals, Inc.","5.39","504773780.28","n/a","1993","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/astx",
"AF","Astoria Financial Corporation","9.47","936921079","n/a","1991","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"AF^C","Astoria Financial Corporation","25.1","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/af^c",
"AZN","Astrazeneca PLC","50.43","62944512879.45","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"ALOT","Astro-Med, Inc.","10.13","74459825.51","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot",
"ATRO","Astronics Corporation","27.53","398579174.82","n/a","1972","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atro",
"ASTC","Astrotech Corporation","0.79","15394514.33","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ASUR","Asure Software Inc","5.61","29508869.28","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"T","AT&T Inc.","38.02","208790992771.78","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"ATAI","ATA Inc.","3.982","89595000","n/a","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"ATHN","athenahealth, Inc.","94.7","3440595985.7","n/a","1991","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"AFCB","Athens Bancshares Corporation","18","39987324","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/afcb",
"ATHX","Athersys, Inc.","1.71","91499760.72","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/athx",
"AAME","Atlantic American Corporation","3.39","71649595.86","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACFC","Atlantic Coast Federal Corporation","4.5217","11887825.1237","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"AT","Atlantic Power Corporation","4.8","573567139.2","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"ATNI","Atlantic Tele-Network, Inc.","47.13","736356433.59","n/a","1991","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atni",
"ATLC","Atlanticus Holdings Corporation","3.99","62073144.21","n/a","1995","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atlc",
"AAWW","Atlas Air Worldwide Holdings","40.03","1058530943.23","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"ATLS","Atlas Energy, L.P.","44.06","2263386873.6","n/a","1995","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/atls",
"AFH","Atlas Financial Holdings, Inc.","6.1","41683880.3","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh",
"APL","Atlas Pipeline Partners, L.P.","34.23","2209817635.83","n/a","2000","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/apl",
"ARP","Atlas Resource Partners, L.P.","23.57","1126874793.99","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arp",
"ATL","Atlatsa Resources Corporation","0.2101","42416768.1773","n/a","1986","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl",
"ATML","Atmel Corporation","6.4","2740136096","n/a","1991","Technology","Semiconductors","http://www.nasdaq.com/symbol/atml",
"ATMI","ATMI Inc.","21.34","682588026.12","n/a","1993","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/atmi",
"ATO","Atmos Energy Corporation","42.12","3813465403.8","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
"ATOS","Atossa Genetics Inc.","8.02","113680981.72","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atos",
"ATRC","AtriCure, Inc.","8.07","168634892.19","n/a","1979","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrc",
"ATRI","ATRION Corporation","186.37","376599163.59","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atri",
"ATTU","Attunity Ltd.","6.08","66803167.04","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"ATW","Atwood Oceanics, Inc.","49.89","3274872694.74","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/atw",
"AUO","AU Optronics Corp","4.22","3725013213.66","n/a","2002","Technology","Semiconductors","http://www.nasdaq.com/symbol/auo",
"AUBN","Auburn National Bancorporation, Inc.","22.24","81018718.72","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn",
"ADNC","Audience, Inc.","14.83","310057587.31","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adnc",
"AUDC","AudioCodes Ltd.","3.31","125491344.83","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/audc",
"AZC","Augusta Resource Corporation","2.52","363233797.92","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/azc",
"AUQ","AuRico Gold Inc.","6.1","1504482595.1","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/auq",
"AZK","Aurizon Mines, Ltd.","4.31","709265784.37","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/azk",
"ADAT","Authentidate Holding Corp.","0.92","24908649.48","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adat",
"ABTL","Autobytel Inc.","4.27","37812558","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl",
"ADSK","Autodesk, Inc.","38.35","8582730000","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk",
"ALV","Autoliv, Inc.","67.99","6500456453.92","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"ADP","Automatic Data Processing, Inc.","63.77","30929545185.98","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp",
"AN","AutoNation, Inc.","41.39","5021127934.54","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/an",
"AMAP","AutoNavi Holdings Limited","10.46","512115271.7","n/a","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amap",
"AZO","AutoZone, Inc.","397.2","14331218292","n/a","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/azo",
"AUXL","Auxilium Pharmaceuticals, Inc.","16.69","822898013.26","n/a","2004","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/auxl",
"AVGO","Avago Technologies Limited","34.33","8454984373.36","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
"AWX","Avalon Holdings Corporation","3.84","14604791.04","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVL","Avalon Rare Metals, Inc.","1.02","105694425.72","n/a","1980","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl",
"AVB","AvalonBay Communities, Inc.","133.44","17259658422.72","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/avb",
"AVNR","Avanir Pharmaceuticals, Inc.","2.65","363567012.35","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/avnr",
"ACP","Avenue Income Credit Strategies Fund","19.39","190099055.86","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/acp",
"AVEO","AVEO Pharmaceuticals, Inc.","7.33","379975384.04","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aveo",
"AVY","Avery Dennison Corporation","41.51","4153340250.78","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/avy",
"AVG","AVG Technologies N.V.","13.64","736764954.64","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/avg",
"AVNW","Aviat Networks, Inc.","3.18","194823599.94","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/avnw",
"AVID","Avid Technology, Inc.","6.25","243282793.75","n/a","1993","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/avid",
"ASM","Avino Silver","1.43","39230525.62","n/a","1992","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"CAR","Avis Budget Group, Inc.","27.28","2935725851.52","n/a","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/car",
"AVA","Avista Corporation","27.1","1622649220.5","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ava",
"AVIV","Aviv REIT, Inc.","24.52","1158072072.36","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aviv",
"AV","Aviva plc","9.24","13424393773.56","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV","Aviva plc","28.67","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/avv",
"AVT","Avnet, Inc.","33.49","4587634783.37","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/avt",
"AVP","Avon Products, Inc.","20.26","8757993164.68","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/avp",
"AVX","AVX Corporation","11.44","1931871896.24","n/a","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/avx",
"AWRE","Aware, Inc.","5.19","116824398.42","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/awre",
"ACLS","Axcelis Technologies, Inc.","1.16","125553497.84","n/a","2000","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acls",
"AXLL","Axiall Corporation","55.97","3906717361.91","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/axll",
"AXS","Axis Capital Holdings Limited","42.24","5033903043.84","n/a","1992","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/axs",
"AXS^A","Axis Capital Holdings Limited","25.53","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axs^a",
"AXS^C","Axis Capital Holdings Limited","27.42","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axs^c",
"AXTI","AXT Inc","2.79","91105463.52","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/axti",
"AZZ","AZZ Incorporated","46.32","1175461111.44","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/azz",
"BCOM","B Communications Ltd.","6.562","196131913.29","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/bcom",
"BGS","B&G Foods, Inc.","29.1","1538190265.2","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bgs",
"BOSC","B.O.S. Better Online Solutions","3.4997","3912948.0757","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BEAV","B/E Aerospace, Inc.","57.49","6021626031.03","n/a","1990","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/beav",
"BWC","Babcock & Wilcox Company (The)","27.24","3094190810.04","n/a","1993","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwc",
"MCI","Babson Capital Corporate Investors","16.11","309951132.03","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mci",
"BGH","Babson Capital Global Short Duration High Yield Fund","25.05","463425000","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/bgh",
"MPV","Babson Capital Participation Investors","14.36","146231455.64","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/mpv",
"BONE","Bacterin International Holdings, Inc.","0.855","36465719.22","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bone",
"BMI","Badger Meter, Inc.","52.08","745653889.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bmi",
"BIDU","Baidu, Inc.","83.59","29227836989","n/a","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BHI","Baker Hughes Incorporated","44.7","19749975061.8","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bhi",
"BCPC","Balchem Corporation","42.7","1262448429.9","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bcpc",
"BBN","BalckRock Build America Bond Trust","22.96","1311092893.04","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/bbn",
"BWINA","Baldwin & Lyons, Inc.","23.65","352695855.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","24.26","361280599.28","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BLL","Ball Corporation","46.99","6996066725.39","n/a","1972","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/bll",
"BTN","Ballantyne Strong, Inc","4.26","59894735.22","n/a","1995","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BLDP","Ballard Power Systems, Inc.","0.96","94807131.84","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BYI","Bally Technologies, Inc.","50.01","2067213360","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/byi",
"BALT","Baltic Trading Limited","3.57","82110310.59","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/balt",
"BGE^B","Baltimore Gas & Electric Company","25.8","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bge^b",
"BANF","BancFirst Corporation","40.89","623585871.03","n/a","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","26.51","26510000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","8.54","46533175114.3","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","16.82","67416815562","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","17.89","68299890648.09","n/a","n/a","Capital Goods","Miscellaneous","http://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","90.85","13926896538.4","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","24.23","709237953.41","n/a","1992","Finance","Commercial Banks","http://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","7.06","26757942539.82","n/a","2009","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","27.39","12903846697.5","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsac",
"SAN","Banco Santander, S.A.","6.87","64819186319.73","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"SAN^A","Banco Santander, S.A.","25.27","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^a",
"SAN^B","Banco Santander, S.A.","20.38","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^b",
"SAN^C","Banco Santander, S.A.","25.83","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^c",
